Customer_id,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,bureau_score,job,num_dependents,own_telephone,foreign_worker,Spend_debit_card,class
13,<0,66,no credits/all paid,business,535,<100,unemployed,4,male single,co applicant,2,life insurance,35,stores,rent,40,unemp/unskilled non res,6,none,no,3553,bad
14,<0,46,critical/other existing credit,business,665,no known savings,4<=X<7,3,male div/sep,co applicant,3,no known property,62,bank,rent,400,unskilled resident,12,yes,no,4383,good
15,<0,61,critical/other existing credit,business,492,<100,1<=X<4,4,male div/sep,co applicant,3,life insurance,70,stores,rent,330,unemp/unskilled non res,11,yes,yes,1487,good
16,<0,67,critical/other existing credit,business,522,<100,>=7,1,male div/sep,co applicant,2,car,41,bank,rent,440,skilled,3,yes,yes,4854,good
17,<0,31,critical/other existing credit,business,919,<100,<1,1,male single,guarantor,4,real estate,55,none,for free,150,unskilled resident,7,yes,no,1869,bad
18,<0,35,existing paid,business,691,<100,unemployed,3,male mar/wid,guarantor,3,no known property,67,stores,for free,470,unemp/unskilled non res,1,none,yes,4571,bad
19,<0,11,delayed previously,business,275,<100,<1,3,male div/sep,guarantor,2,life insurance,33,none,for free,60,high qualif/self emp/mgmt,4,yes,yes,3965,good
20,<0,54,no credits/all paid,business,788,no known savings,4<=X<7,4,male div/sep,guarantor,3,car,58,stores,for free,70,skilled,11,none,yes,7,good
21,<0,64,existing paid,business,261,<100,<1,1,male single,guarantor,1,real estate,34,none,for free,470,high qualif/self emp/mgmt,12,yes,no,3846,good
22,<0,32,delayed previously,business,347,100<=X<500,4<=X<7,2,male div/sep,guarantor,1,no known property,20,bank,for free,110,unemp/unskilled non res,4,none,yes,3160,good
23,<0,65,critical/other existing credit,business,518,<100,1<=X<4,4,male single,guarantor,3,real estate,36,stores,for free,190,high qualif/self emp/mgmt,8,yes,no,335,good
24,<0,61,critical/other existing credit,business,964,<100,1<=X<4,4,male mar/wid,guarantor,4,no known property,20,bank,for free,230,skilled,5,yes,yes,971,good
25,<0,48,all paid,business,7685,<100,4<=X<7,2,female div/dep/mar,guarantor,4,car,37,none,rent,10,skilled,1,none,yes,19,bad
26,<0,23,existing paid,business,906,<100,>=7,2,male single,guarantor,2,real estate,32,none,rent,360,unskilled resident,13,none,no,-25,bad
27,<0,70,critical/other existing credit,business,906,500<=X<1000,1<=X<4,1,male mar/wid,guarantor,4,real estate,71,bank,rent,470,high qualif/self emp/mgmt,6,none,yes,-50,bad
28,<0,48,all paid,business,251,500<=X<1000,unemployed,2,male div/sep,guarantor,3,real estate,36,none,rent,70,skilled,6,none,yes,-20,bad
29,<0,30,existing paid,business,662,<100,>=7,3,male mar/wid,guarantor,1,no known property,60,bank,rent,220,unemp/unskilled non res,11,none,no,-16,good
30,<0,69,existing paid,business,493,<100,4<=X<7,4,male mar/wid,guarantor,2,no known property,73,bank,rent,230,high qualif/self emp/mgmt,9,none,no,-8,good
31,<0,29,critical/other existing credit,business,815,<100,>=7,4,male mar/wid,none,3,life insurance,52,bank,for free,10,unemp/unskilled non res,9,yes,no,-12,bad
32,<0,33,existing paid,business,962,<100,1<=X<4,2,male div/sep,none,1,real estate,19,bank,for free,70,skilled,5,yes,no,-16,bad
33,<0,60,delayed previously,business,6836,<100,>=7,3,male single,none,4,no known property,63,none,own,20,skilled,1,yes,yes,-28,bad
34,<0,36,delayed previously,business,2145,<100,4<=X<7,2,male single,none,1,car,24,none,own,20,skilled,1,yes,yes,-34,good
35,<0,30,no credits/all paid,business,8072,no known savings,<1,2,male single,none,3,car,25,bank,own,30,skilled,1,none,yes,-26,good
36,<0,24,existing paid,business,6568,<100,1<=X<4,2,male mar/wid,none,2,car,21,stores,own,10,unskilled resident,1,none,yes,-8,good
37,<0,27,no credits/all paid,business,5293,<100,unemployed,2,male single,none,4,life insurance,50,stores,own,20,skilled,1,yes,yes,-15,good
38,<0,18,no credits/all paid,business,3104,<100,4<=X<7,3,male single,none,1,life insurance,31,bank,own,10,skilled,1,yes,yes,-26,good
39,<0,15,existing paid,business,806,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,22,none,own,10,unskilled resident,1,none,yes,-40,good
40,<0,13,critical/other existing credit,business,1797,<100,<1,3,male single,none,1,life insurance,28,bank,own,20,unskilled resident,1,none,yes,-39,good
41,<0,24,critical/other existing credit,business,1382,100<=X<500,4<=X<7,4,male single,none,1,real estate,26,none,own,20,skilled,1,yes,yes,-43,good
42,<0,27,critical/other existing credit,business,2442,<100,>=7,4,male single,none,4,car,43,stores,own,40,high qualif/self emp/mgmt,2,yes,yes,-6,good
43,<0,21,critical/other existing credit,business,311,<100,1<=X<4,4,male div/sep,none,4,no known property,46,none,own,220,high qualif/self emp/mgmt,12,yes,yes,-44,good
44,<0,14,existing paid,business,524,<100,unemployed,3,male div/sep,none,3,real estate,66,none,own,290,high qualif/self emp/mgmt,2,none,no,-48,good
45,<0,30,existing paid,business,622,>=1000,<1,3,male div/sep,none,2,real estate,29,bank,own,30,skilled,4,yes,yes,3104,good
46,<0,48,critical/other existing credit,business,449,100<=X<500,unemployed,1,male div/sep,none,2,no known property,70,bank,own,290,skilled,5,yes,yes,1513,good
47,<0,48,existing paid,business,4308,<100,<1,3,female div/dep/mar,none,4,life insurance,24,none,rent,10,skilled,1,none,yes,2156,bad
48,<0,45,no credits/all paid,business,11816,<100,>=7,2,male single,none,4,car,29,none,rent,20,skilled,1,none,yes,3478,bad
49,<0,24,all paid,business,3161,<100,1<=X<4,4,male single,none,2,life insurance,31,none,rent,10,skilled,1,yes,yes,315,bad
50,<0,23,existing paid,business,494,<100,unemployed,4,male div/sep,none,3,car,63,stores,rent,260,high qualif/self emp/mgmt,2,yes,no,4176,bad
51,<0,71,existing paid,business,597,<100,1<=X<4,1,male single,none,3,real estate,56,stores,rent,280,skilled,7,yes,no,2507,bad
52,<0,38,no credits/all paid,domestic appliance,536,no known savings,>=7,4,male single,co applicant,4,life insurance,46,none,for free,400,high qualif/self emp/mgmt,1,none,yes,3497,good
53,<0,30,existing paid,domestic appliance,844,<100,4<=X<7,2,male mar/wid,co applicant,1,life insurance,70,none,for free,140,high qualif/self emp/mgmt,2,none,no,25,bad
54,<0,24,critical/other existing credit,domestic appliance,998,500<=X<1000,1<=X<4,2,male single,co applicant,2,life insurance,42,stores,for free,340,unskilled resident,6,yes,no,3178,bad
55,<0,17,existing paid,domestic appliance,676,>=1000,1<=X<4,4,male single,co applicant,1,car,49,none,for free,210,high qualif/self emp/mgmt,3,yes,yes,1477,good
56,<0,59,existing paid,domestic appliance,765,<100,4<=X<7,4,male div/sep,co applicant,1,life insurance,55,none,for free,360,skilled,6,none,yes,2688,good
57,<0,32,existing paid,domestic appliance,472,<100,<1,2,male div/sep,co applicant,2,life insurance,44,none,for free,240,unemp/unskilled non res,13,none,no,648,good
58,<0,25,existing paid,domestic appliance,777,no known savings,4<=X<7,4,male div/sep,co applicant,4,no known property,66,stores,own,80,high qualif/self emp/mgmt,13,none,yes,1482,good
59,<0,8,existing paid,domestic appliance,497,<100,>=7,4,male div/sep,co applicant,3,real estate,21,stores,own,290,skilled,10,yes,yes,197,good
60,<0,47,all paid,domestic appliance,914,no known savings,>=7,4,male mar/wid,co applicant,3,real estate,25,none,rent,220,unskilled resident,13,yes,yes,811,bad
61,<0,64,existing paid,domestic appliance,785,500<=X<1000,4<=X<7,4,male div/sep,co applicant,3,real estate,37,none,rent,30,unemp/unskilled non res,4,none,no,429,bad
62,<0,62,existing paid,domestic appliance,748,>=1000,4<=X<7,1,male single,co applicant,1,car,23,stores,rent,410,high qualif/self emp/mgmt,5,yes,no,3827,good
63,<0,48,existing paid,domestic appliance,307,100<=X<500,unemployed,1,male single,co applicant,2,real estate,52,stores,rent,100,unemp/unskilled non res,6,none,no,1164,good
64,<0,15,existing paid,domestic appliance,727,<100,4<=X<7,1,male div/sep,co applicant,1,life insurance,54,stores,rent,400,skilled,3,yes,no,1035,good
65,<0,53,existing paid,domestic appliance,551,>=1000,<1,4,male single,co applicant,2,life insurance,46,none,rent,190,skilled,14,yes,yes,1609,good
66,<0,48,existing paid,domestic appliance,790,<100,>=7,2,male single,guarantor,3,real estate,63,stores,for free,240,unskilled resident,7,none,no,1030,bad
67,<0,26,existing paid,domestic appliance,347,<100,>=7,4,male div/sep,guarantor,4,life insurance,68,stores,for free,130,skilled,12,none,no,3640,bad
68,<0,48,existing paid,domestic appliance,777,<100,>=7,3,male mar/wid,guarantor,3,car,53,none,for free,480,unemp/unskilled non res,5,none,yes,2822,bad
69,<0,51,existing paid,domestic appliance,862,no known savings,<1,4,male single,guarantor,3,car,67,bank,own,210,skilled,8,yes,no,2761,bad
70,<0,62,no credits/all paid,domestic appliance,417,500<=X<1000,<1,2,male mar/wid,guarantor,2,real estate,66,stores,own,480,skilled,3,yes,yes,1994,bad
71,<0,69,existing paid,domestic appliance,669,>=1000,<1,3,male div/sep,guarantor,2,real estate,50,stores,own,80,skilled,4,yes,no,2979,good
72,<0,13,existing paid,domestic appliance,443,>=1000,unemployed,3,male mar/wid,guarantor,3,life insurance,67,bank,own,410,unemp/unskilled non res,10,yes,yes,1607,good
73,<0,11,existing paid,domestic appliance,398,no known savings,>=7,1,male mar/wid,guarantor,4,car,27,stores,rent,340,unemp/unskilled non res,9,none,yes,3438,bad
74,<0,66,existing paid,domestic appliance,496,<100,1<=X<4,4,male div/sep,guarantor,2,car,68,stores,rent,170,unskilled resident,9,none,yes,3915,bad
75,<0,26,critical/other existing credit,domestic appliance,337,<100,4<=X<7,2,male div/sep,guarantor,2,life insurance,47,stores,rent,300,unskilled resident,6,none,yes,1130,bad
76,<0,31,all paid,domestic appliance,954,500<=X<1000,unemployed,2,male div/sep,guarantor,1,no known property,51,none,rent,30,skilled,11,yes,yes,175,good
77,<0,60,critical/other existing credit,domestic appliance,885,<100,1<=X<4,2,male mar/wid,none,1,real estate,70,stores,for free,250,high qualif/self emp/mgmt,13,none,yes,4976,bad
78,<0,18,existing paid,domestic appliance,1217,<100,1<=X<4,4,male mar/wid,none,3,real estate,47,none,own,10,unskilled resident,1,yes,yes,4897,bad
79,<0,12,existing paid,domestic appliance,741,100<=X<500,unemployed,4,female div/dep/mar,none,3,life insurance,22,none,own,10,skilled,1,none,yes,4856,bad
80,<0,48,existing paid,domestic appliance,3051,<100,1<=X<4,3,male single,none,4,car,54,none,own,10,skilled,1,none,yes,4746,bad
81,<0,6,existing paid,domestic appliance,974,<100,4<=X<7,4,male mar/wid,none,1,no known property,46,stores,own,440,unskilled resident,13,none,no,2780,bad
82,<0,6,existing paid,domestic appliance,343,<100,<1,4,female div/dep/mar,none,1,real estate,27,none,own,10,skilled,1,none,yes,23,good
83,<0,67,critical/other existing credit,domestic appliance,816,<100,1<=X<4,2,male div/sep,none,3,real estate,67,none,own,300,unemp/unskilled non res,10,yes,yes,3958,good
84,<0,15,existing paid,domestic appliance,1275,no known savings,1<=X<4,4,female div/dep/mar,none,2,car,24,none,rent,10,skilled,1,none,yes,776,bad
85,<0,34,existing paid,domestic appliance,455,<100,<1,3,male div/sep,none,1,real estate,74,stores,rent,320,high qualif/self emp/mgmt,5,none,no,1066,good
86,<0,16,existing paid,education,866,500<=X<1000,4<=X<7,1,male mar/wid,co applicant,3,real estate,37,bank,for free,210,unemp/unskilled non res,1,yes,yes,1448,bad
87,<0,20,existing paid,education,675,<100,4<=X<7,4,male div/sep,co applicant,4,real estate,41,stores,for free,170,skilled,8,yes,no,1838,bad
88,<0,21,existing paid,education,698,<100,4<=X<7,1,male div/sep,co applicant,2,real estate,58,bank,own,470,unskilled resident,8,yes,yes,2137,bad
89,<0,36,existing paid,education,791,100<=X<500,1<=X<4,1,male div/sep,co applicant,4,life insurance,42,stores,own,290,high qualif/self emp/mgmt,6,none,no,700,good
90,<0,44,existing paid,education,846,100<=X<500,unemployed,2,male div/sep,co applicant,2,life insurance,42,bank,own,240,skilled,7,yes,no,4580,good
91,<0,19,existing paid,education,804,>=1000,unemployed,4,male div/sep,co applicant,4,real estate,72,none,rent,460,high qualif/self emp/mgmt,9,yes,no,4946,bad
92,<0,72,existing paid,education,257,<100,1<=X<4,3,male div/sep,co applicant,3,life insurance,75,stores,rent,100,skilled,10,yes,yes,596,good
93,<0,41,existing paid,education,332,<100,4<=X<7,2,male div/sep,co applicant,2,life insurance,29,none,rent,340,unemp/unskilled non res,5,none,yes,4388,bad
94,<0,60,critical/other existing credit,education,760,no known savings,unemployed,3,male mar/wid,co applicant,1,real estate,57,stores,rent,480,unemp/unskilled non res,12,yes,no,3187,good
95,<0,11,delayed previously,education,419,<100,<1,3,male mar/wid,co applicant,4,car,44,none,rent,290,high qualif/self emp/mgmt,10,yes,no,3302,good
96,<0,11,existing paid,education,805,no known savings,unemployed,2,male single,guarantor,4,life insurance,52,none,for free,170,unemp/unskilled non res,4,yes,no,3625,bad
97,<0,19,critical/other existing credit,education,412,<100,<1,2,male div/sep,guarantor,3,real estate,30,stores,for free,300,high qualif/self emp/mgmt,1,none,yes,647,good
98,<0,43,existing paid,education,835,>=1000,1<=X<4,3,male div/sep,guarantor,1,car,24,stores,for free,40,skilled,9,none,yes,379,good
99,<0,71,existing paid,education,576,<100,4<=X<7,2,male div/sep,guarantor,1,real estate,38,none,for free,60,unskilled resident,1,yes,no,3317,good
100,<0,38,existing paid,education,810,<100,>=7,1,male single,guarantor,2,real estate,53,bank,own,410,skilled,11,none,no,2364,bad
101,<0,37,existing paid,education,267,<100,<1,3,male div/sep,guarantor,1,car,49,none,own,130,high qualif/self emp/mgmt,12,none,no,3219,good
102,<0,20,existing paid,education,686,500<=X<1000,unemployed,3,male div/sep,guarantor,2,no known property,45,stores,rent,440,unemp/unskilled non res,3,none,yes,60,good
103,<0,6,all paid,education,1198,<100,>=7,4,female div/dep/mar,none,4,no known property,35,none,for free,10,skilled,1,none,yes,543,bad
104,<0,13,delayed previously,education,596,<100,<1,1,male mar/wid,none,2,real estate,71,none,for free,390,high qualif/self emp/mgmt,8,none,no,33,bad
105,<0,12,existing paid,education,793,<100,unemployed,4,male div/sep,none,2,real estate,32,bank,for free,470,skilled,3,yes,no,4177,bad
106,<0,36,existing paid,education,988,<100,1<=X<4,4,male div/sep,none,1,life insurance,73,bank,for free,40,skilled,3,yes,yes,2576,bad
107,<0,11,critical/other existing credit,education,554,<100,unemployed,4,male single,none,2,real estate,46,stores,for free,230,unemp/unskilled non res,4,none,yes,2621,good
108,<0,4,existing paid,education,861,500<=X<1000,4<=X<7,3,male div/sep,none,4,real estate,30,stores,for free,250,unskilled resident,3,none,yes,608,bad
109,<0,48,existing paid,education,7476,<100,4<=X<7,4,male single,none,1,no known property,50,none,for free,10,high qualif/self emp/mgmt,1,yes,yes,3138,good
110,<0,64,existing paid,education,475,<100,unemployed,1,male single,none,1,car,25,none,for free,310,unskilled resident,5,yes,no,2759,good
111,<0,53,all paid,education,974,<100,4<=X<7,1,male div/sep,none,1,real estate,45,stores,for free,300,unemp/unskilled non res,7,none,yes,1709,good
112,<0,36,existing paid,education,1977,no known savings,>=7,4,male single,none,4,no known property,40,none,own,10,high qualif/self emp/mgmt,1,yes,yes,4579,good
113,<0,21,delayed previously,education,3414,<100,<1,2,male single,none,1,life insurance,26,none,own,20,skilled,1,none,yes,1048,good
114,<0,6,existing paid,education,448,<100,<1,4,female div/dep/mar,none,4,life insurance,23,none,own,10,skilled,1,none,yes,3161,bad
115,<0,18,existing paid,education,750,<100,unemployed,4,female div/dep/mar,none,1,real estate,27,none,own,10,unemp/unskilled non res,1,none,yes,4957,bad
116,<0,36,critical/other existing credit,education,8065,<100,1<=X<4,3,female div/dep/mar,none,2,no known property,25,none,own,20,high qualif/self emp/mgmt,1,yes,yes,1209,bad
117,<0,40,critical/other existing credit,education,5998,<100,1<=X<4,4,male single,none,3,no known property,27,bank,own,10,skilled,1,yes,yes,3886,bad
118,<0,12,existing paid,education,795,<100,<1,4,female div/dep/mar,none,4,life insurance,53,none,own,10,skilled,1,none,yes,3257,bad
119,<0,66,existing paid,education,684,no known savings,<1,1,male mar/wid,none,2,car,27,stores,own,480,unemp/unskilled non res,13,yes,no,1129,bad
120,<0,36,delayed previously,education,6887,<100,1<=X<4,4,male single,none,3,life insurance,29,stores,own,10,skilled,1,yes,yes,3145,good
121,<0,48,all paid,education,662,<100,>=7,1,male div/sep,none,2,real estate,65,stores,own,50,skilled,3,none,no,481,good
122,<0,20,existing paid,education,760,<100,4<=X<7,4,male div/sep,none,4,no known property,32,none,own,350,skilled,13,none,no,2767,good
123,<0,12,existing paid,education,684,<100,1<=X<4,4,male single,none,4,car,40,none,rent,10,unskilled resident,2,none,yes,3287,bad
124,<0,37,critical/other existing credit,education,422,500<=X<1000,unemployed,4,male div/sep,none,1,real estate,74,stores,rent,330,high qualif/self emp/mgmt,9,none,no,4846,bad
125,<0,12,existing paid,education,1200,no known savings,1<=X<4,4,female div/dep/mar,none,4,life insurance,23,bank,rent,10,skilled,1,yes,yes,4684,good
126,<0,18,delayed previously,education,8471,no known savings,1<=X<4,1,female div/dep/mar,none,2,car,23,none,rent,20,skilled,1,yes,yes,1598,good
127,<0,48,no credits/all paid,furniture/equipment,719,no known savings,unemployed,3,male single,co applicant,1,real estate,21,bank,for free,70,unskilled resident,6,none,no,1746,good
128,<0,48,existing paid,furniture/equipment,319,<100,<1,1,male div/sep,co applicant,1,no known property,29,stores,for free,290,unskilled resident,8,yes,yes,3144,bad
129,<0,45,existing paid,furniture/equipment,820,500<=X<1000,unemployed,2,male mar/wid,co applicant,2,real estate,60,none,for free,300,skilled,3,none,yes,243,bad
130,<0,23,existing paid,furniture/equipment,931,<100,1<=X<4,3,male div/sep,co applicant,4,no known property,26,none,for free,120,skilled,13,none,yes,2906,good
131,<0,56,critical/other existing credit,furniture/equipment,403,<100,>=7,4,male div/sep,co applicant,2,car,22,stores,for free,370,skilled,10,yes,yes,4308,good
132,<0,18,existing paid,furniture/equipment,4153,<100,1<=X<4,2,male single,co applicant,3,car,42,none,own,10,skilled,1,none,yes,882,bad
133,<0,54,existing paid,furniture/equipment,676,<100,unemployed,2,male mar/wid,co applicant,4,car,31,none,own,480,unskilled resident,13,yes,yes,3345,bad
134,<0,39,critical/other existing credit,furniture/equipment,808,<100,>=7,3,male div/sep,co applicant,1,car,75,none,own,40,skilled,13,yes,yes,2492,bad
135,<0,12,existing paid,furniture/equipment,1620,<100,1<=X<4,2,female div/dep/mar,co applicant,3,life insurance,30,none,own,10,skilled,1,none,yes,4646,good
136,<0,12,existing paid,furniture/equipment,3590,<100,1<=X<4,2,male single,co applicant,2,life insurance,29,none,own,10,unskilled resident,2,none,yes,4538,good
137,<0,24,existing paid,furniture/equipment,1747,<100,<1,4,male single,co applicant,1,life insurance,24,none,own,10,unskilled resident,1,none,no,3948,good
138,<0,36,critical/other existing credit,furniture/equipment,6229,<100,<1,4,female div/dep/mar,co applicant,4,no known property,23,none,rent,20,unskilled resident,1,yes,yes,4000,good
139,<0,10,critical/other existing credit,furniture/equipment,2132,no known savings,<1,2,female div/dep/mar,co applicant,3,real estate,27,none,rent,20,skilled,1,none,no,1364,good
140,<0,7,delayed previously,furniture/equipment,890,<100,<1,4,male mar/wid,co applicant,2,life insurance,44,stores,rent,90,unskilled resident,11,yes,no,2693,good
141,<0,50,critical/other existing credit,furniture/equipment,874,no known savings,>=7,3,male div/sep,co applicant,2,real estate,61,bank,rent,340,unemp/unskilled non res,2,none,yes,569,good
142,<0,27,delayed previously,furniture/equipment,257,<100,>=7,4,male single,co applicant,1,no known property,68,none,rent,230,unskilled resident,10,yes,no,4745,good
143,<0,23,existing paid,furniture/equipment,734,<100,<1,1,male div/sep,co applicant,2,no known property,63,stores,rent,130,unskilled resident,3,yes,no,3857,good
144,<0,32,existing paid,furniture/equipment,481,<100,unemployed,2,male div/sep,co applicant,3,real estate,37,stores,rent,380,unemp/unskilled non res,11,none,no,973,good
145,<0,42,critical/other existing credit,furniture/equipment,863,<100,1<=X<4,1,male div/sep,guarantor,3,no known property,59,none,for free,460,unemp/unskilled non res,2,yes,no,4037,bad
146,<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2,male single,guarantor,4,life insurance,45,none,for free,10,skilled,2,none,yes,3494,good
147,<0,25,existing paid,furniture/equipment,269,<100,>=7,4,male single,guarantor,3,real estate,42,bank,for free,50,high qualif/self emp/mgmt,3,yes,yes,2180,good
148,<0,44,existing paid,furniture/equipment,366,<100,>=7,3,male div/sep,guarantor,2,life insurance,22,stores,own,410,skilled,10,yes,no,2027,bad
149,<0,35,existing paid,furniture/equipment,945,>=1000,4<=X<7,1,male div/sep,guarantor,4,life insurance,22,none,own,190,unskilled resident,14,none,yes,4892,bad
150,<0,62,existing paid,furniture/equipment,613,500<=X<1000,<1,2,male single,guarantor,4,life insurance,22,bank,own,70,skilled,6,none,no,2852,bad
151,<0,36,critical/other existing credit,furniture/equipment,5371,<100,1<=X<4,3,male single,guarantor,2,life insurance,28,none,own,20,skilled,1,none,yes,560,good
152,<0,12,existing paid,furniture/equipment,708,<100,1<=X<4,2,male single,guarantor,3,life insurance,38,none,own,10,unskilled resident,2,none,yes,3191,good
153,<0,36,existing paid,furniture/equipment,3620,<100,1<=X<4,1,male single,guarantor,2,life insurance,37,none,own,10,skilled,2,none,yes,2901,good
154,<0,12,existing paid,furniture/equipment,1289,<100,1<=X<4,4,male single,guarantor,1,life insurance,21,none,own,10,unskilled resident,1,none,yes,2017,good
155,<0,30,no credits/all paid,furniture/equipment,4583,<100,1<=X<4,2,male div/sep,guarantor,2,real estate,32,none,own,20,skilled,1,none,yes,3744,good
156,<0,19,delayed previously,furniture/equipment,302,100<=X<500,<1,3,male mar/wid,guarantor,2,life insurance,63,stores,own,430,unemp/unskilled non res,4,yes,no,4538,good
157,<0,62,existing paid,furniture/equipment,394,500<=X<1000,>=7,3,male single,guarantor,1,real estate,40,none,own,440,skilled,10,yes,no,3315,good
158,<0,20,existing paid,furniture/equipment,663,no known savings,1<=X<4,4,male div/sep,guarantor,2,life insurance,37,bank,rent,410,skilled,7,none,no,4680,bad
159,<0,34,existing paid,furniture/equipment,742,500<=X<1000,unemployed,2,male mar/wid,guarantor,1,no known property,55,none,rent,270,unemp/unskilled non res,8,yes,no,1241,good
160,<0,15,existing paid,furniture/equipment,1845,<100,<1,4,female div/dep/mar,guarantor,1,life insurance,46,none,rent,10,skilled,1,none,yes,2918,good
161,<0,18,existing paid,furniture/equipment,998,500<=X<1000,4<=X<7,4,male mar/wid,guarantor,3,no known property,63,none,rent,150,unskilled resident,4,yes,no,2942,good
162,<0,11,critical/other existing credit,furniture/equipment,867,<100,4<=X<7,2,male single,guarantor,1,car,54,stores,rent,420,skilled,4,none,yes,1683,good
163,<0,64,all paid,furniture/equipment,407,500<=X<1000,unemployed,3,male single,guarantor,4,real estate,25,none,rent,60,high qualif/self emp/mgmt,8,none,no,1613,good
164,<0,12,existing paid,furniture/equipment,7865,<100,>=7,4,male single,none,4,no known property,53,none,for free,10,high qualif/self emp/mgmt,1,yes,yes,3768,bad
165,<0,48,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,3,male single,none,4,no known property,53,none,for free,20,skilled,2,none,yes,4280,bad
166,<0,24,all paid,furniture/equipment,3349,500<=X<1000,<1,4,male single,none,4,no known property,30,none,for free,10,skilled,2,yes,yes,871,good
167,<0,5,all paid,furniture/equipment,908,>=1000,>=7,3,male single,none,2,no known property,23,bank,for free,280,high qualif/self emp/mgmt,2,yes,yes,3058,bad
168,<0,24,existing paid,furniture/equipment,3149,<100,<1,4,male single,none,1,no known property,22,bank,for free,10,skilled,1,none,yes,2249,good
169,<0,12,existing paid,furniture/equipment,2578,<100,unemployed,3,female div/dep/mar,none,4,no known property,55,none,for free,10,high qualif/self emp/mgmt,1,none,yes,3381,good
170,<0,6,critical/other existing credit,furniture/equipment,1872,<100,unemployed,4,male single,none,4,no known property,36,none,for free,30,high qualif/self emp/mgmt,1,yes,yes,4700,good
171,<0,38,critical/other existing credit,furniture/equipment,382,<100,>=7,4,male div/sep,none,1,car,69,stores,for free,170,unskilled resident,11,yes,yes,2585,good
172,<0,55,existing paid,furniture/equipment,644,<100,>=7,3,male div/sep,none,1,car,26,stores,for free,450,high qualif/self emp/mgmt,8,none,no,4175,good
173,<0,45,existing paid,furniture/equipment,795,<100,>=7,3,male single,none,1,life insurance,40,bank,for free,480,unemp/unskilled non res,5,none,no,3680,good
174,<0,24,critical/other existing credit,furniture/equipment,598,<100,4<=X<7,4,male mar/wid,none,2,real estate,19,stores,for free,70,unemp/unskilled non res,9,none,yes,4892,good
175,<0,50,existing paid,furniture/equipment,363,<100,>=7,2,male div/sep,none,3,no known property,21,stores,for free,220,unskilled resident,5,yes,yes,4430,good
176,<0,18,existing paid,furniture/equipment,2462,<100,1<=X<4,2,male single,none,2,car,22,none,own,10,skilled,1,none,yes,153,good
177,<0,18,existing paid,furniture/equipment,1131,<100,unemployed,4,female div/dep/mar,none,2,car,33,none,own,10,skilled,1,none,yes,3517,good
178,<0,36,all paid,furniture/equipment,2746,<100,>=7,4,male single,none,4,car,31,bank,own,10,skilled,1,none,yes,717,bad
179,<0,18,existing paid,furniture/equipment,2473,<100,unemployed,4,male single,none,1,car,25,none,own,10,unemp/unskilled non res,1,none,yes,4531,bad
180,<0,36,existing paid,furniture/equipment,3446,<100,>=7,4,male single,none,2,car,42,none,own,10,skilled,2,none,yes,2961,bad
181,<0,24,existing paid,furniture/equipment,2996,no known savings,1<=X<4,2,male mar/wid,none,4,car,20,none,own,10,skilled,1,none,yes,87,bad
